specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no
13134,spm,,489976,19690,,MUCPv 323,holotype,right,pubis,,1,text,,,n. gen. Futalognkosaurus n. sp. dukei,species,109005,,Futalognkosaurus dukei,species,109005,93.5,85.8,25429
18568,spm,,475222,0,,HMN dd,,,femur,,1,table,,,n. gen. Elaphrosaurus n. sp. bambergi,species,55481,,Elaphrosaurus bambergi,species,55481,155.7,150.8,34423
18569,spm,,475222,0,,HMN dd,,,tibia,,1,table,,,n. gen. Elaphrosaurus n. sp. bambergi,species,55481,,Elaphrosaurus bambergi,species,55481,155.7,150.8,34423
18592,spm,,485130,0,,ANSP 9995,holotype,right,fibula,,1,table,,"""preserved"" length 23 inches (= 584 mm) according to Cope 1866",n. gen. Laelaps n. sp. aquilunguis,species,53032,recombined as,Dryptosaurus aquilunguis,species,53032,70.6,66,34423
18593,spm,,485130,0,,ANSP 9995,holotype,right,tibia,,1,table,,length 30.75 inches (= 781 mm) and circumference 10.5 inches (= 267 mm) according to Cope 1866,n. gen. Laelaps n. sp. aquilunguis,species,53032,recombined as,Dryptosaurus aquilunguis,species,53032,70.6,66,34423
18594,spm,,536124,13789,,AMNH 587,,,fibula,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,157.3,145,34423
18595,spm,,536124,13789,,AMNH 587,,,tibia,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,157.3,145,34423
18596,spm,,536124,13789,,AMNH 587,,,fibula,,1,table,,,Tanycolagreus topwilsoni,species,68260,,Tanycolagreus topwilsoni,species,68260,157.3,145,34423
18597,spm,,513562,0,,SPS GIN AN MPR 100/300,holotype,,femur,,1,table,,,n. gen. Anserimimus n. sp. planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423
18598,spm,,513562,0,,SPS GIN AN MPR 100/300,holotype,,tibia,,1,table,,,n. gen. Anserimimus n. sp. planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423
18599,spm,,513562,0,,SPS GIN AN MPR 100/300,holotype,,fibula,,1,table,,,n. gen. Anserimimus n. sp. planinychus,species,66672,,Anserimimus planinychus,species,66672,72.1,66,34423
18600,spm,,487439,12435,,AMNH 21800,,,femur,,1,table,,width based on Smith and Galton 1990; length originally given by them as 314,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,34423
18601,spm,,487441,12437,,AMNH 6570,,,femur,,1,table,,,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,34423
18602,spm,,487439,12435,,AMNH 21801,,,tibia,,1,table,,width based on Smith and Galton 1990; length originally given by them as 401,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,34423
18603,spm,,487439,12435,,AMNH 6576,,,tibia,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,34423
18604,spm,,487441,12437,,AMNH 6570,,,tibia,,1,table,,,Ornithomimus asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,34423
18607,spm,,517533,33991,,AMNH 5201,,,femur,,1,table,,,Dromiceiomimus brevitertius,species,66907,subjective synonym of,Ornithomimus edmontonicus,species,63438,70.6,66,34423
18608,spm,,517533,33991,,AMNH 5201,,,tibia,,1,table,,,Dromiceiomimus brevitertius,species,66907,subjective synonym of,Ornithomimus edmontonicus,species,63438,70.6,66,34423
18621,spm,,517542,0,,Amer. Mus. No. 5339,,,femur,,1,table,,"length said to be 480 mm by Osborn 1916, who gives width (""antero-posterior diameter of shaft"" at ""mid-length"")",Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423
18622,spm,,517542,0,,Amer. Mus. No. 5339,,,fibula,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423
18623,spm,,517539,0,,AMNH 5385,,,femur,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423
18624,spm,,517539,0,,AMNH 5385,,,tibia,,1,table,,,Struthiomimus altus,species,57266,,Struthiomimus altus,species,57268,83.6,72.1,34423
18625,spm,,489802,0,,AMNH 6554,,,femur,,1,table,,,n. gen. Alectrosaurus n. sp. olseni,species,57253,,Alectrosaurus olseni,species,57253,83.5,70.6,34423
18626,spm,,489802,0,,AMNH 6554,,,tibia,,1,table,,,n. gen. Alectrosaurus n. sp. olseni,species,57253,,Alectrosaurus olseni,species,57253,83.5,70.6,34423
18649,spm,,487166,0,,CM 9780 (AMNH 5027),,,femur,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423
18650,spm,,487166,0,,CM 9780 (AMNH 5027),,,tibia,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423
18651,spm,,487166,0,,CM 9780 (AMNH 5027),,,fibula,,1,table,,,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,72.1,66,34423
18652,spm,,517548,0,,AMNH 5438,,,femur,,1,table,,said to be 841 mm by Erickson et al. 2004,Daspletosaurus torosus,species,57258,,Daspletosaurus torosus,species,57258,83.6,72.1,34423
18653,spm,,517548,0,,AMNH 5438,,,tibia,,1,table,,,Daspletosaurus torosus,species,57258,,Daspletosaurus torosus,species,57258,83.6,72.1,34423
